Isotope	<th>	conc	<th>	Coh_b	<th>	Inc_b	<th>	Coh_xs	<th>	Inc_xs	<th>	Scatt_xs	<th>	Abs_xs	<th> Mass<th>Radius
	50Cr	<td>	4.35	<td>	-4.50	<td>	0	<td>	2.54	<td>	0	<td>	2.54	<td>	15.8	<td> 49.9460464<td> 1.4 
	52Cr	<td>	83.79	<td>	4.920	<td>	0	<td>	3.042	<td>	0	<td>	3.042	<td>	0.76	<td> 51.9405098<td> 1.4
	53Cr	<td>	9.5	<td>	-4.20	<td>	6.87	<td>	2.22	<td>	5.93	<td>	8.15	<td>	18.1(1.5)	<td> 52.9406513<td> 1.4
	54Cr	<td>	2.36	<td>	4.55	<td>	0	<td>	2.6	<td>	0	<td>	2.6	<td>	0.36	<td> 53.9388825<td> 1.4
	Mn	<td>	100	<td>	-3.73	<td>	1.79	<td>	1.75	<td>	0.4	<td>	2.15	<td>	13.3	<td> 54.9380471<td> 1.4
	Fe	<td>	---	<td>	9.45	<td>	---	<td>	11.22	<td>	0.4	<td>	11.62	<td>	2.56	<td> 55.845<td> 1.4
	54Fe	<td>	5.8	<td>	4.2	<td>	0	<td>	2.2	<td>	0	<td>	2.2	<td>	2.25	<td> 53.9396127<td> 1.4
	56Fe	<td>	91.7	<td>	9.94	<td>	0	<td>	12.42	<td>	0	<td>	12.42	<td>	2.59	<td> 55.9349393<td> 1.4
	57Fe	<td>	2.2	<td>	2.3	<td>	---	<td>	0.66	<td>	0.3	<td>	1	<td>	2.48	<td> 56.9353958<td> 1.4
	58Fe	<td>	0.3	<td>	15.(7.) 	<td>	0	<td>	28	<td>	0	<td>	28.(26.)	<td>	1.28  	<td> 57.9332773<td> 1.4
	Co	<td>	100	<td>	2.49	<td>	-6.2	<td>	0.779	<td>	4.8	<td>	5.6	<td>	37.18	<td> 58.9331976<td> 1.35
	Ni	<td>	---	<td>	10.3	<td>	---	<td>	13.3	<td>	5.2	<td>	18.5	<td>	4.49	<td> 58.6934<td> 1.35
	58Ni	<td>	68.27	<td>	14.4	<td>	0	<td>	26.1	<td>	0	<td>	26.1	<td>	4.6	<td> 57.9353462 <td> 1.35
	60Ni	<td>	26.1	<td>	2.8	<td>	0	<td>	0.99	<td>	0	<td>	0.99	<td>	2.9	<td> 59.9307884<td> 1.35
	61Ni	<td>	1.13	<td>	7.60	<td>	(+/-)3.9	<td>	7.26	<td>	1.9	<td>	9.2	<td>	2.5	<td> 60.93579<td> 1.35
	62Ni	<td>	3.59	<td>	-8.7	<td>	0	<td>	9.5	<td>	0	<td>	9.5	<td>	14.5	<td> 61.9283461<td> 1.35
	64Ni	<td>	0.91	<td>	-0.37	<td>	0	<td>	0.017	<td>	0	<td>	0.017	<td>	1.52	<td> 63.92779<td> 1.35
	Cu	<td>	---	<td>	7.718	<td>	---	<td>	7.485	<td>	0.55	<td>	8.03	<td>	3.78	<td> 63.546 <td> 1.35
	63Cu	<td>	69.17	<td>	6.43	<td>	0.22	<td>	5.2	<td>	0.006	<td>	5.2	<td>	4.5	<td> 62.9295989<td> 1.35
	65Cu	<td>	30.83	<td>	10.61	<td>	1.79	<td>	14.1	<td>	0.4	<td>	14.5	<td>	2.17	<td> 64.9277929<td> 1.35
	Zn	<td>	---	<td>	5.680	<td>	---	<td>	4.054	<td>	0.077	<td>	4.131	<td>	1.11	<td> 65.38<td> 1.35
	64Zn	<td>	48.6	<td>	5.22	<td>	0	<td>	3.42	<td>	0	<td>	3.42	<td>	0.93	<td> 63.9291448<td> 1.35
	66Zn	<td>	27.9	<td>	5.97	<td>	0	<td>	4.48	<td>	0	<td>	4.48	<td>	0.62	<td> 65.9260347<td> 1.35
	67Zn	<td>	4.1	<td>	7.56	<td>	-1.50	<td>	7.18	<td>	0.28	<td>	7.46	<td>	6.8	<td> 66.9271291<td> 1.35
	68Zn	<td>	18.8	<td>	6.03	<td>	0	<td>	4.57	<td>	0	<td>	4.57	<td>	1.1	<td> 67.9248459 <td> 1.35
	70Zn	<td>	0.6		<td>	6.(1.) 	<td>	0	<td>	4.5	<td>	0	<td>	4.5(1.5)	<td>	0.092	 <td> 69.925325<td> 1.35
	Ga	<td>	---	<td>	7.288	<td>	---	<td>	6.675	<td>	0.16	<td>	6.83	<td>	2.75	<td> 69.723 <td> 1.3
	69Ga	<td>	60.1	<td>	7.88	<td>	-0.85	<td>	7.8	<td>	0.091	<td>	7.89	<td>	2.18	<td> 68.925580<td> 1.3
	71Ga	<td>	39.9	<td>	6.40	<td>	-0.82	<td>	5.15	<td>	0.084	<td>	5.23	<td>	3.61	<td> 70.9247005 <td> 1.3
	Ge	<td>	---	<td>	8.185	<td>	---	<td>	8.42	<td>	0.18	<td>	8.6	<td>	2.2	<td> 72.64<td> 1.25
	70Ge	<td>	20.5	<td>	10.0	<td>	0	<td>	12.6	<td>	0	<td>	12.6	<td>	3	<td> 69.9242497<td> 1.25
	72Ge	<td>	27.4	<td>	8.51		<td>	0	<td>	9.1	<td>	0	<td>	9.1	<td>	0.8	<td> 71.9220789 <td> 1.25
	73Ge	<td>	7.8	<td>	5.02	<td>	3.4	<td>	3.17	<td>	1.5	<td>	4.7	<td>	15.1	<td> 72.9234626<td> 1.25
	74Ge	<td>	36.5	<td>	7.58	<td>	0	<td>	7.2	<td>	0	<td>	7.2	<td>	0.4	<td> 73.9211774<td> 1.25
	76Ge	<td>	7.8	<td>	8.2	<td>	0	<td>	8.(3.)	<td>	0	<td>	8.(3.)	<td>	0.16	<td> 75.9214016<td> 1.25
	As	<td>	100	<td>	6.58	<td>	-0.69	<td>	5.44	<td>	0.06	<td>	5.5	<td>	4.5	<td> 74.9215942<td> 1.15
	Se	<td>	---	<td>	7.970	<td>	---	<td>	7.98	<td>	0.32	<td>	8.3	<td>	11.7	<td> 78.96<td> 1.15
	74Se	<td>	0.9	<td>	0.8	<td>	0	<td>	0.1	<td>	0	<td>	0.1	<td>	51.8(1.2)	<td> 73.9224746<td> 1.15
	76Se	<td>	9	<td>	12.2	<td>	0	<td>	18.7	<td>	0	<td>	18.7	<td>	85.(7.)	<td> 75.9192120<td> 1.15
	77Se	<td>	7.6	<td>	8.25	<td>	(+/-)0.6(1.6)	<td>	8.6	<td>	0.05	<td>	8.65	<td>	42.(4.)	<td> 76.9199125<td> 1.15
	78Se	<td>	23.5	<td>	8.24	<td>	0	<td>	8.5	<td>	0	<td>	8.5	<td>	0.43	<td> 77.9173076 <td> 1.15
	80Se	<td>	49.6	<td>	7.48	<td>	0	<td>	7.03	<td>	0	<td>	7.03	<td>	0.61	<td> 79.9165196<td> 1.15
	82Se	<td>	9.4	<td>	6.34	<td>	0	<td>	5.05	<td>	0	<td>	5.05	<td>	0.044		<td> 81.9166978<td> 1.15 
	Br	<td>	---	<td>	6.795	<td>	---	<td>	5.8	<td>	0.1	<td>	5.9	<td>	6.9	<td> 79.904 <td> 1.15
	79Br	<td>	50.69	<td>	6.80	<td>	-1.1	<td>	5.81	<td>	0.15	<td>	5.96	<td>	11	<td> 78.9183361<td> 1.15
	81Br	<td>	49.31	<td>	6.79	<td>	0.6	<td>	5.79	<td>	0.05	<td>	5.84	<td>	2.7	<td> 80.916289<td> 1.15
	Kr	<td>	---	<td>	7.81	<td>	---	<td>	7.67	<td>	0.01	<td>	7.68	<td>	25.(1.)	<td> 83.798<td> 1.15
	78Kr	<td>	0.35	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	6.4	<td> 77.920396<td> 1.15
	80Kr	<td>	2.25	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	11.8	<td> 79.916380<td> 1.15
	82Kr	<td>	11.6	<td>	---	<td>	0	<td>	---	<td>	0	<td>	---	<td>	29.(20.)	<td> 81.913482<td> 1.15 
